"asset","sha256","source_document","embedded_name","embedded_index","bytes"
"embedded_001.png","a488efcea6f4641732a505e9627b7fcc42ab6ad7812bafb7454ca9e1c764cfbc","任务8\task8_nature_output\任务8_矩形薄板拉伸平面弹性分析_Nature优化版.docx","word/media/image1.png","1","73974"
"embedded_002.png","33191778800341d4b6e1c0ff631a2853e14054ff171194965f39e3da75fb86ab","任务8\task8_nature_output\任务8_矩形薄板拉伸平面弹性分析_Nature优化版.docx","word/media/image2.png","2","95875"
"embedded_003.png","5966cff3c359570639d8f526c05e84fde8542e0eda017e3911f367b4c46c3238","任务8\task8_nature_output\任务8_矩形薄板拉伸平面弹性分析_Nature优化版.docx","word/media/image3.png","3","198123"
"embedded_004.png","986758584d710dde74b03295807615d6ee9080d9c246b457a755064e06f8ed2e","任务8\task8_nature_output\任务8_矩形薄板拉伸平面弹性分析_Nature优化版.docx","word/media/image4.png","4","157740"
"embedded_001.png","a488efcea6f4641732a505e9627b7fcc42ab6ad7812bafb7454ca9e1c764cfbc","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image1.png","1","73974"
"embedded_002.png","33191778800341d4b6e1c0ff631a2853e14054ff171194965f39e3da75fb86ab","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image2.png","2","95875"
"embedded_003.png","5966cff3c359570639d8f526c05e84fde8542e0eda017e3911f367b4c46c3238","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image3.png","3","198123"
"embedded_004.png","986758584d710dde74b03295807615d6ee9080d9c246b457a755064e06f8ed2e","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image4.png","4","157740"
"embedded_005.png","eef0d362f3d76ad708d4669d1b64004737535373af1926b8701e3f13773bc18f","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image5.png","5","57079"
"embedded_006.png","d9e78e5e006e9e3668c3c0c1cde63e0c1b6c2330359f6cc5b89386d1dce35a0c","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image6.png","6","58234"
"embedded_007.png","d8407959523c724299889577081fbb739db984f8f6d6dea55792eb5181ede65d","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image7.png","7","49796"
"embedded_008.png","503bc663952120e7e420ce3d7d80c36e47c5e3ed8990339146cff45da9fcd188","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image8.png","8","53711"
"embedded_009.png","a40406848fe149f2feb2785768b8ace5181e866c232cd7170c6677550b820a1b","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image9.png","9","54296"
"embedded_010.png","216c146699a03920aa768b8f66ee2e8b26b341fea96a2bc2064ed232ac57d9af","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image10.png","10","122281"
"embedded_011.png","7a1340a2579b110c11bfef2efbc6de2c6b8012f79e95d9883f33a784a727cdc0","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image11.png","11","150738"
"embedded_012.png","3603f5b01910ea9428e6f353a539e4cadfec8c270f27d9932b5fc420f1d07297","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image12.png","12","98294"
"embedded_013.png","84278d915479bb167a216e7a124709fd8b57ecbab322409d3cbf63fc57f70e61","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image13.png","13","88220"
"embedded_014.png","34eac0c334c93f0c0971b729c727eec97cae212d0735406a734a659d4c0408d4","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image14.png","14","133000"
"embedded_015.png","d9485f7d5e3cd307d62bf230853d0bba35f9aa15bab5f1afbd1e586adbcf6c80","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image15.png","15","73251"
"embedded_016.png","f1d1b2d73dd7076fe4c02b12ecf209f45b546461eb15de605e9616cfc3f780c9","任务8\task8_nature_output\任务8_Nature双栏公式修正版_v4.docx","word/media/image16.png","16","67612"
